videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
mVW239Hi8fU,"We challenged the best Rocket League freestylers to battle like Pokemon AGAIN",2022-02-08,Long Form,12M30S,750,754252,31807,1021
PJXBloHKEf8,"Reacting to the most viewed Rocket League clips of all time",2022-02-01,Long Form,14M54S,894,1409264,48517,978
NUnw0OSNUr0,"1 Pro vs 3 of each rank until he loses (Insane Daniel Showmatch)",2022-01-25,Long Form,16M27S,987,2833142,72044,3673
P8iM6XMgbzg,"Pro rocket league mafia",2022-01-13,Long Form,15M46S,946,824394,31412,852
VbJg_2QA4H8,"The top 20 Rocket League players in the world in 2021",2022-01-06,Long Form,11M18S,678,1006701,33963,2379
XL62Xg1h3Z4,"Every Toxic Player in Rocket League 7",2021-12-25,Long Form,15M18S,918,1318264,51153,2286
4vFuyNGAXU0,"I don't understand MOBILE Rocket League (sideswipe)",2021-12-15,Long Form,8M25S,505,929576,33843,1318
aeG-M5nT7Zg,"Rocket Dreams: The Story of Sandrock Gaming",2021-12-07,Long Form,15M40S,940,1416383,74216,4400
N70mfVVEI0c,"I hired rank boosters but then lost every single game to make them rage in Rocket League",2021-11-26,Long Form,16M19S,979,1761536,64335,3352
9KGMzvommu4,"World's Longest Rocket League Match (24 hours)",2021-11-17,Long Form,24M57S,1497,3512556,83477,2057
wXHnoXvSJKY,"Rocket League pros try to guess ranks of regular players",2021-11-07,Long Form,12M52S,772,1105596,33688,2539
n_5fGBzSrLo,"I created a TERRIFYING Rocket League prank to get reactions from my friends",2021-10-30,Long Form,12M14S,734,2488299,62317,1119
E-uXpaz9tjg,"Meet the youngest Grand Champion in the world",2021-10-23,Long Form,14M29S,869,1775220,51825,2761
Ljfft0hKPGY,"I made regular players coach a pro Rocket League player",2021-10-16,Long Form,10M25S,625,608901,26996,988
PgGXbjZAu_c,"I challenged strangers to score a real life Rocket League goal",2021-10-09,Long Form,10M22S,622,465932,24980,1513
gx9uxX0EIJ4,"I challenged strangers on Omegle to 1v1 in Rocket League",2021-10-02,Long Form,12M49S,769,953685,42314,1512
25TNiom9KvM,"Making low ranked players do the mechanics they bragged they could do",2021-09-25,Long Form,11M10S,670,5337456,113255,24019
40XyQLUgb10,"I challenged Rocket League Pros to 1v1 me as a huge hot dog",2021-09-18,Long Form,10M6S,606,1799849,53544,1626
qRTRvfO2tfY,"We created the best real life Rocket League ever made",2021-09-11,Long Form,13M18S,798,3180206,96301,3590
GtjXzFCA46I,"I made a fake RLCS broadcast to troll rocket league esports fans",2021-09-04,Long Form,27M50S,1670,3561999,111522,4591
rfJynCOtrR8,"I tricked rocket league smurfs into 1v1ing a pro",2021-08-28,Long Form,14M10S,850,5705996,126983,2884
fePSpcPwIxM,"Rocket League Toxic vs Wholesome - Who is better?",2021-08-21,Long Form,12M51S,771,759061,32937,1758
9QrKIztMFvw,"I'm confused about the new Rocket League update",2021-08-14,Long Form,14M2S,842,1116600,50249,2023
8YqBgQiiPLw,"I asked you to send me the worst Rocket League video in the world",2021-08-07,Long Form,12M54S,774,1445748,57458,1997
N3cEAfWgOko,"Someone made a new version of Rocket League and it's surprisingly good...",2021-07-31,Long Form,9M9S,549,1086651,43167,1518
u81vyRWt4r4,"I put a secret gold player in a grand champion lobby to see if they could figure it out",2021-07-24,Long Form,11M59S,719,1544587,52852,3745
RtekLgCvp6s,"Every toxic player in Rocket League (part 6)",2021-07-17,Long Form,16M29S,989,1766151,60734,3039
KwfnUXFQogw,"Why I'm quitting Rocket League.",2021-07-10,Long Form,12M14S,734,1390549,132381,23133
Cy9RLlZOc4o,"I trained 8 PLATINUM players to fight against each other",2021-07-03,Long Form,15M35S,935,2614191,60675,6062
RVXM-xljT8s,"Meet the best rumble rocket league player in the world",2021-06-26,Long Form,12M32S,752,3302217,79047,2423
1uvgEIjQmzY,"That time I beat Seth Rogen in Rocket League (real)",2021-06-21,Long Form,17M56S,1076,1002274,49605,2489
WqqXM9yxFkg,"I joined a pro team for a day to see if we could win the hardest in-game tournament in Rocket League",2021-06-16,Long Form,13M25S,805,1805943,51418,1814
sNqU1tddlK4,"NOOB vs PRO vs HACKER in Rocket League",2021-06-09,Long Form,10M43S,643,4635862,91141,2674
eQwRIHamhHQ,"20 silvers vs 1 pro (New Impossible Challenge)",2021-06-02,Long Form,10M24S,624,5703002,109136,2650
fiFwlPHVy4g,"10,000 hours in gold - meet the most experienced low ranked player of all time",2021-05-26,Long Form,14M18S,858,4659842,134048,11367
eX-5KmwiDUI,"Score a goal, your opponent RANKS UP in Rocket League",2021-05-19,Long Form,13M38S,818,6215624,103992,6311
3icmbfZMUiY,"11v11 Rocket League on a massive field",2021-05-12,Long Form,10M19S,619,1562562,65108,2909
IE-xkbXEZyU,"Rocket League CHAMPS vs PROS (but the pros have to get more and more drunk each game)",2021-05-05,Long Form,15M36S,936,1927989,65841,3727
oHQvNIiyeqo,"I recorded every toxic player I played with in Rocket League, this is the result (part 5)",2021-04-28,Long Form,17M5S,1025,2318791,80141,4582
w4qgTREg7MQ,"Playing in every rank from BRONZE to PRO level in one day (SSL edition)",2021-04-21,Long Form,15M9S,909,7094756,107669,6389
DFtYIiYDnaQ,"Picking 8 RANDOM players based on their freeplay mechanics",2021-04-14,Long Form,15M8S,908,2897374,60915,1891
Q4bpt9z9fmc,"100+ mods in Rocket League at once",2021-04-08,Long Form,10M26S,626,1915849,60044,2741
6UlQzRSKuZI,"What if Pro Rocket League had REFS?",2021-04-01,Long Form,11M49S,709,2854256,84971,3236
nEHR12n3jEI,"I joined a PRO Rocket League team for a day (and we actually entered a tournament)",2021-03-27,Long Form,20M35S,1235,7744086,114791,4899
LOQwUqUEwnc,"A Rocket League tournament with only toxic players",2021-03-20,Long Form,15M27S,927,1487886,56353,1742
f608cdyV_Ow,"Rocket League pros try to guess ranks of every day players",2021-03-15,Long Form,16M2S,962,7198442,120629,8303
7IuRNXT26fs,"I snuck onto a high school Rocket League team to see if the coach would notice",2021-03-10,Long Form,10M3S,603,2809062,87750,3253
nKvNboqyqbU,"I challenged toxic players to 1v1 BUT queued with them instead to see how they react",2021-03-03,Long Form,11M,660,1663517,71381,3350
ZJ6Z1gzTUjk,"freestyle 1v1v1v1",2021-02-26,Long Form,12M9S,729,1222103,50693,1995
6mEd9LJp7qM,"Rocket League with No Balls",2021-02-19,Long Form,11M29S,689,1709257,70287,5740
GXZlZCcJAGs,"The true story of how I lost everything in Rocket League (but gained it back in a single 1v1)",2021-02-12,Long Form,11M58S,718,2155220,77100,5434
nf4oExcEbqg,"I did an Athena flick with every car in Rocket League. Which one is the WORST?",2021-02-05,Long Form,15M34S,934,2592712,77680,4574
FRUktXson9o,"Rocket League vs NFL Running Back (Austin Ekeler)",2021-01-30,Long Form,10M30S,630,952034,41663,1894
GgIz1JnY9VI,"Score a goal, go DOWN a rank in Rocket League",2021-01-25,Long Form,13M35S,815,3322979,91980,14832
XCor17VyLaY,"Last pro standing wins $1000",2021-01-19,Long Form,14M25S,865,3000023,91301,3520
fU7BOPQGj8k,"I recorded every toxic Rocket League player I encountered (month 4)",2021-01-14,Long Form,18M14S,1094,4620520,123075,13873
glOYwS1G-vA,"100 vs 1 in Rocket League",2021-01-06,Long Form,14M3S,843,4824239,115530,5262
