videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
1uvgEIjQmzY,"That time I beat Seth Rogen in Rocket League (real)",2021-06-21,Long Form,17M56S,undefined,1002230,49608,2489
WqqXM9yxFkg,"I joined a pro team for a day to see if we could win the hardest in-game tournament in Rocket League",2021-06-16,Long Form,13M25S,undefined,1805011,51418,1814
sNqU1tddlK4,"NOOB vs PRO vs HACKER in Rocket League",2021-06-09,Long Form,10M43S,undefined,4635316,91149,2674
eQwRIHamhHQ,"20 silvers vs 1 pro (New Impossible Challenge)",2021-06-02,Long Form,10M24S,undefined,5702490,109144,2650
fiFwlPHVy4g,"10,000 hours in gold - meet the most experienced low ranked player of all time",2021-05-26,Long Form,14M18S,undefined,4657289,134007,11365
eX-5KmwiDUI,"Score a goal, your opponent RANKS UP in Rocket League",2021-05-19,Long Form,13M38S,undefined,6214002,104001,6311
3icmbfZMUiY,"11v11 Rocket League on a massive field",2021-05-12,Long Form,10M19S,undefined,1562386,65104,2909
IE-xkbXEZyU,"Rocket League CHAMPS vs PROS (but the pros have to get more and more drunk each game)",2021-05-05,Long Form,15M36S,undefined,1927609,65843,3729
oHQvNIiyeqo,"I recorded every toxic player I played with in Rocket League, this is the result (part 5)",2021-04-28,Long Form,17M5S,undefined,2317563,80128,4582
w4qgTREg7MQ,"Playing in every rank from BRONZE to PRO level in one day (SSL edition)",2021-04-21,Long Form,15M9S,undefined,7094157,107672,6390
DFtYIiYDnaQ,"Picking 8 RANDOM players based on their freeplay mechanics",2021-04-14,Long Form,15M8S,undefined,2896741,60915,1891
Q4bpt9z9fmc,"100+ mods in Rocket League at once",2021-04-08,Long Form,10M26S,undefined,1915600,60042,2742
6UlQzRSKuZI,"What if Pro Rocket League had REFS?",2021-04-01,Long Form,11M49S,undefined,2852644,84938,3236
nEHR12n3jEI,"I joined a PRO Rocket League team for a day (and we actually entered a tournament)",2021-03-27,Long Form,20M35S,undefined,7741955,114798,4900
LOQwUqUEwnc,"A Rocket League tournament with only toxic players",2021-03-20,Long Form,15M27S,undefined,1487615,56352,1742
f608cdyV_Ow,"Rocket League pros try to guess ranks of every day players",2021-03-15,Long Form,16M2S,undefined,7196866,120624,8307
7IuRNXT26fs,"I snuck onto a high school Rocket League team to see if the coach would notice",2021-03-10,Long Form,10M3S,undefined,2808551,87746,3255
nKvNboqyqbU,"I challenged toxic players to 1v1 BUT queued with them instead to see how they react",2021-03-03,Long Form,11M,undefined,1663012,71376,3351
ZJ6Z1gzTUjk,"freestyle 1v1v1v1",2021-02-26,Long Form,12M9S,undefined,1222031,50698,1997
6mEd9LJp7qM,"Rocket League with No Balls",2021-02-19,Long Form,11M29S,undefined,1709027,70291,5741
GXZlZCcJAGs,"The true story of how I lost everything in Rocket League (but gained it back in a single 1v1)",2021-02-12,Long Form,11M58S,undefined,2155079,77112,5434
nf4oExcEbqg,"I did an Athena flick with every car in Rocket League. Which one is the WORST?",2021-02-05,Long Form,15M34S,undefined,2592666,77688,4574
FRUktXson9o,"Rocket League vs NFL Running Back (Austin Ekeler)",2021-01-30,Long Form,10M30S,undefined,952031,41670,1895
GgIz1JnY9VI,"Score a goal, go DOWN a rank in Rocket League",2021-01-25,Long Form,13M35S,undefined,3322686,91992,14838
XCor17VyLaY,"Last pro standing wins $1000",2021-01-19,Long Form,14M25S,undefined,2999700,91307,3520
fU7BOPQGj8k,"I recorded every toxic Rocket League player I encountered (month 4)",2021-01-14,Long Form,18M14S,undefined,4619206,123070,13879
glOYwS1G-vA,"100 vs 1 in Rocket League",2021-01-06,Long Form,14M3S,undefined,4824083,115549,5262
2R9C3gTWLkk,"I created the EASIEST training pack in the world and it still made Rocket League players rage",2020-12-30,Long Form,12M56S,undefined,5920649,193016,6029
p6B1NOWbmPw,"Unknown Rocket League Youtubers",2020-12-25,Long Form,11M44S,undefined,1067455,49523,8918
mx992btlL08,"1 Rocket League Pro vs EVERY RANK AT ONCE (impossible)",2020-12-22,Long Form,10M10S,undefined,2960792,80332,3342
