videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
LyHSC7bQDQk,"Geometry Dash 2.2 Keyframe System",2022-08-20,Long Form,33S,33,4350582,143667,20056
ipK7vQ8gEZw,"Geometry Dash Update 2.2 Sneak Peek",2021-08-14,Long Form,1M44S,104,22372688,809246,121435
rXaYgcgctGc,"Geometry Dash 2.2 Auto-Build System",2020-01-19,Long Form,1M17S,77,6290106,216129,37348
td9TryTy8DM,"Uhm...",2019-05-13,Long Form,1M31S,91,6184859,185454,31026
g4r6BTdU2M0,"eheheheheh",2019-02-23,Long Form,17S,17,9405403,209880,23612
r_jPnwM0WZE,"Geometry Dash 2.2 Particle Editor",2019-02-23,Long Form,2M25S,145,3231052,92666,19318
RpqNpRe9MZQ,"Geometry Dash SubZero Released",2017-12-21,Long Form,32S,32,44396356,155383,21693
VVDu2Y029vQ,"Fun with 2.2: Where am I going?",2017-12-02,Long Form,22S,22,5407709,115528,17573
xbOu9SUwmww,"Fun with 2.2: Camera Controls",2017-11-30,Long Form,48S,48,6446257,181835,20197
Mi3T0InNnJ0,"Fun with 2.2: The Random Trigger",2017-11-21,Long Form,25S,25,2992803,72778,10888
AtWMZk-THhY,"Geometry Dash World Trailer",2016-12-21,Long Form,36S,36,39173547,99265,23358
TNyhP4p-Nv8,"Geometry Dash Update 2.1 Sneak Peek",2016-04-16,Long Form,38S,38,12200767,206685,58014
UYALQB2GiQQ,"Fireballs?",2016-02-21,Long Form,18S,18,4172495,81002,16259
61kpnVVD4W4,"Geometry Dash Meltdown Released",2015-12-19,Long Form,36S,36,2189219,39025,4960
muEvsozBnyE,"Geometry Dash Meltdown Trailer",2015-12-17,Long Form,30S,30,36204857,71303,9976
ssRy9WKhCOk,"Geometry Dash 2.0 Example",2015-07-07,Long Form,6S,6,5159668,62446,11802
nnkePuBng3I,"Geometry Dash Update 2.0 Sneak Peek 2",2015-05-11,Long Form,15S,15,6541627,78207,13204
zLIUo65PbWQ,"Geometry Dash 2.0 Editor Preview",2015-04-19,Long Form,1M9S,69,2482700,39644,4464
rVNhHf4yHBc,"Geometry Dash Update 2.0 Sneak Peek",2015-04-09,Long Form,12S,12,4763953,58677,9189
ELeCcv11zXE,"Geometry Dash Steam Trailer",2014-12-22,Long Form,47S,47,2175886,30492,2471
2iId_amseh0,"Geometry Dash Update 1.9 Sneak Peek 2",2014-10-11,Long Form,16S,16,2637214,37046,4426
PQkAjNPKxDM,"Geometry Dash Update 1.9 Sneak Peek",2014-09-28,Long Form,22S,22,2019330,28149,3682
oil_U1qIxQU,"Geometry Dash Update 1.8 Sneak Peek",2014-07-16,Long Form,33S,33,1348472,19025,2341
R-YzBbNHYBQ,"Geometry Dash Update 1.7 Sneak Peek",2014-05-01,Long Form,15S,15,1156006,16722,1192
63dk6jIGUYU,"Geometry Dash - User Level - Auto Clubstep",2014-04-05,Long Form,1M32S,92,905232,13660,893
IBFBNdN4JgI,"Geometry Dash - User Level - Clubstep v2",2014-04-05,Long Form,1M32S,92,2514090,66563,7040
lhhhcRRUHAw,"Geometry Dash - User Level - Auto ToE",2014-04-01,Long Form,1M35S,95,860293,14999,1299
4YpSZ_Rze2U,"Geometry Dash Update 1.6 Sneak Peek",2014-03-09,Long Form,19S,19,1377056,22803,1996
_G7YMNJMkDM,"Geometry Dash - Level 12 Complete - Theory of Everything",2014-01-31,Long Form,1M35S,95,3483307,43158,3673
0_FeLwxckLY,"Geometry Dash - Level 8 Complete - Time Machine",2013-09-09,Long Form,1M50S,110,1399645,21542,2155
hI8AoSVkScA,"Geometry Dash - Level 1 Complete - Stereo Madness",2013-08-15,Long Form,1M40S,100,1502695,23542,2404
k90y6PIzIaE,"Official Geometry Dash Trailer",2013-08-03,Long Form,1M4S,64,178828747,359581,26220
HoBekpQuLTg,"Geometry Jump Character Customization Preview",2013-06-03,Long Form,39S,39,1416959,27171,2195
727pUHwWSVg,"Geometry Jump by RobTopGames (Beta)",2013-04-29,Long Form,1M7S,67,5515025,150821,24735
NabtjDi2OgU,"Official Boomlings Trailer",2012-10-29,Long Form,1M16S,76,1759868,47607,3847
